Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J8         *MOLEX_47352-1001_47352-1001(Primary)     27.3422mm     10.3222mm     27.3672mm     10.0972mm     25.4272mm      6.4372mm  B        180.00 microSD        
C59        SMD_C(0603)         29.3763mm     47.5996mm     29.3763mm     47.5996mm     29.3763mm     46.8884mm  T         90.00 1uF            
C60        SMD_C(0603)         30.0773mm     54.3855mm     30.0773mm     54.3855mm     30.7885mm     54.3855mm  T        180.00 10uF           
C61        SMD_C(0603)         30.1027mm     57.2049mm     30.1027mm     57.2049mm     29.3915mm     57.2049mm  T        360.00 10uF           
C62        SMD_C(0402)         30.3821mm     58.3479mm     30.3821mm     58.3479mm     30.8141mm     58.3479mm  T        180.00 0.1uF          
C63        SMD_C(0402)         35.6516mm       41.33mm     35.6516mm       41.33mm     36.0836mm       41.33mm  B        180.00 0.1uF          
C64        SMD_C(0402)         36.1188mm      37.845mm     36.1188mm      37.845mm     36.5508mm      37.845mm  B        180.00 0.1uF          
C65        SMD_C(0402)         36.1596mm     31.9574mm     36.1596mm     31.9574mm     35.7276mm     31.9574mm  B        360.00 0.1uF          
C66        SMD_C(0402)         46.6786mm     35.9146mm     46.6786mm     35.9146mm     46.6786mm     36.3466mm  B        270.00 0.1uF          
C67        SMD_C(0402)         45.0596mm       45.95mm     45.0596mm       45.95mm     44.6276mm       45.95mm  B        360.00 0.1uF          
C68        SMD_C(0402)         35.7278mm     46.3084mm     35.7278mm     46.3084mm     36.1598mm     46.3084mm  B        180.00 0.1uF          
C70        SMD_C(0402)         75.9614mm     61.7744mm     75.9614mm     61.7744mm     76.3934mm     61.7744mm  T        180.00 0.1uF          
C71        SMD_C(0603)          75.682mm     63.7556mm      75.682mm     63.7556mm     74.9708mm     63.7556mm  T        360.00 4.7uF          
C72        SMD_C(0402)         70.2522mm     63.3924mm     70.2522mm     63.3924mm     70.2522mm     62.9604mm  B         90.00 0.1uF          
C73        SMD_C(0603)         69.1134mm     63.6618mm     69.1134mm     63.6618mm     69.1134mm      64.373mm  B        270.00 10uF           
C74        SMD_C(0603)         66.4168mm     63.6718mm     66.4168mm     63.6718mm     66.4168mm      64.383mm  B        270.00 4.7uF          
C75        SMD_C(0402)         66.6242mm      60.325mm     66.6242mm      60.325mm     66.1922mm      60.325mm  T        360.00 22pF           
C76        SMD_C(0402)         66.6242mm     56.8198mm     66.6242mm     56.8198mm     66.1922mm     56.8198mm  T        360.00 22pF           
C79        SMD_C(0603)         75.7328mm     60.6568mm     75.7328mm     60.6568mm      76.444mm     60.6568mm  T        180.00 4.7uF          
C80        SMD_C(0402)         75.4534mm     58.6502mm     75.4534mm     58.6502mm     75.8854mm     58.6502mm  T        180.00 0.1uF          
C82        SMD_C(0402)         71.3232mm      65.135mm     71.3232mm      65.135mm     70.8912mm      65.135mm  B        360.00 0.1uF          
C83        SMD_C(0402)         55.5636mm     61.1786mm     55.5636mm     61.1786mm     55.5636mm     60.7466mm  B         90.00 0.1uF          
C84        SMD_C(0402)          70.706mm     33.0388mm      70.706mm     33.0388mm      70.706mm     33.4708mm  B        270.00 0.1uF          
C85        SMD_C(0603)         56.7066mm     60.8992mm     56.7066mm     60.8992mm     56.7066mm      60.188mm  B         90.00 1uF            
C86        SMD_C(0603)         64.0234mm     64.3144mm     64.0234mm     64.3144mm     64.7346mm     64.3144mm  B        180.00 1uF            
C89        SMD_C(0603)         71.4148mm     68.2006mm     71.4148mm     68.2006mm     70.7036mm     68.2006mm  B        360.00 10uF           
C90        SMD_C(0402)         71.6688mm     69.3944mm     71.6688mm     69.3944mm     72.1008mm     69.3944mm  B        180.00 0.1uF          
C91        SMD_C(0603)         71.4148mm     70.5628mm     71.4148mm     70.5628mm     70.7036mm     70.5628mm  B        360.00 1uF            
C92        SMD_C(0402)         17.8816mm      69.469mm     17.8816mm      69.469mm     17.4496mm      69.469mm  T        360.00 NC             
C93        SMD_C(0402)         17.8816mm     67.1322mm     17.8816mm     67.1322mm     17.4496mm     67.1322mm  T        360.00 NC             
C94        SMD_C(0402)            7.87mm     58.9994mm        7.87mm     58.9994mm       8.302mm     58.9994mm  B        180.00 0.1uF          
C95        SMD_C(0603)          8.1494mm     57.8564mm      8.1494mm     57.8564mm      8.8606mm     57.8564mm  B        180.00 10uF           
C96        SMD_C(0603)         64.0234mm      65.686mm     64.0234mm      65.686mm     64.7346mm      65.686mm  B        180.00 1uF            
C97        SMD_C(0603)         67.7884mm     63.6718mm     67.7884mm     63.6718mm     67.7884mm      64.383mm  B        270.00 1uF            
